clip_stem,split,videos_len
1_1_11_11,train,59
1_1_11_12,train,46
1_1_11_13,train,48
1_1_11_14,train,50
1_1_11_15,train,47
1_1_11_16,train,39
1_1_11_17,train,37
1_1_11_18,train,56
1_1_11_19,train,66
1_1_11_20,train,59
1_1_11_21,train,50
1_1_11_22,train,46
1_1_11_23,train,47
1_1_11_24,train,57
1_1_11_25,train,70
1_1_11_26,train,75
1_1_11_27,train,64
1_1_11_28,train,53
1_1_11_29,train,68
1_1_11_30,train,73
1_1_11_31,train,67
1_1_11_32,train,56
1_1_11_33,train,51
1_1_11_34,train,62
1_1_11_35,train,70
1_1_11_36,train,77
1_1_11_37,train,80
1_1_11_38,train,71
1_1_11_39,train,68
1_1_11_40,train,78
1_1_11_41,train,49
1_1_12_1,train,24
1_1_12_2,train,41
1_1_12_3,train,70
1_1_12_4,train,55
1_1_12_5,train,44
1_1_12_6,train,62
1_1_12_7,train,64
1_1_12_8,train,50
1_1_12_9,train,35
1_1_12_10,train,37
1_1_12_11,train,59
1_1_12_12,train,64
1_1_12_13,train,56
1_1_12_14,train,69
1_1_12_15,train,80
1_1_12_16,train,73
1_1_12_17,train,53
1_1_12_18,train,49
1_1_12_19,train,59
1_1_12_20,train,63
1_1_12_21,train,68
1_1_12_22,train,74
1_1_12_23,train,61
1_1_12_24,train,49
1_1_12_25,train,66
1_1_12_26,train,65
1_1_12_27,train,55
1_1_12_28,train,54
1_1_12_29,train,56
1_1_12_30,train,58
1_1_12_31,train,62
1_1_12_32,train,59
1_1_12_33,train,59
1_1_12_34,train,44
1_1_13_1,train,36
1_1_13_2,train,53
1_1_13_3,train,65
1_1_13_4,train,60
1_1_13_5,train,56
1_1_13_6,train,42
1_1_13_7,train,40
1_1_13_8,train,62
1_1_13_9,train,76
1_1_13_10,train,60
1_1_13_11,train,55
1_1_13_12,train,63
1_1_13_13,train,59
1_1_13_14,train,58
1_1_13_15,train,56
1_1_13_16,train,65
1_1_13_17,train,65
1_1_13_18,train,62
1_1_13_19,train,67
1_1_13_20,train,71
1_1_13_21,train,75
1_1_13_22,train,78
1_1_13_23,train,68
1_1_13_24,train,56
1_1_13_25,train,59
1_1_13_26,train,58
1_1_13_27,train,58
1_1_13_28,train,65
1_1_13_29,train,62
1_1_13_30,train,55
1_1_13_31,train,56
1_1_13_32,train,68
1_1_13_33,train,56
1_1_13_34,train,44
1_1_13_35,train,63
1_1_13_36,train,72
1_1_13_37,train,70
1_1_13_38,train,68
1_1_13_39,train,43
1_1_14_1,train,31
1_1_14_2,train,42
1_1_14_3,train,53
1_1_14_4,train,65
1_1_14_5,train,55
1_1_14_6,train,46
1_1_14_7,train,52
1_1_14_8,train,53
1_1_14_9,train,69
1_1_14_10,train,66
1_1_14_11,train,55
1_1_14_12,train,65
1_1_14_13,train,77
1_1_14_14,train,46
1_1_15_1,train,30
1_1_15_2,train,43
1_1_15_3,train,59
1_1_15_4,train,69
1_1_15_5,train,65
1_1_15_6,train,56
1_1_15_7,train,71
1_1_15_8,train,71
1_1_15_9,train,52
1_1_15_10,train,46
1_1_15_11,train,53
1_1_15_12,train,53
1_1_15_13,train,65
1_1_15_14,train,56
1_1_15_15,train,43
1_1_15_16,train,53
1_1_15_17,train,65
1_1_15_18,train,49
1_1_16_1,train,30
1_1_16_2,train,45
1_1_16_3,train,58
1_1_16_4,train,58
1_1_16_5,train,56
1_1_16_6,train,51
1_1_16_7,train,65
1_1_16_8,train,75
1_1_16_9,train,65
1_1_16_10,train,58
1_1_16_11,train,68
1_1_16_12,train,80
1_1_16_13,train,75
1_1_16_14,train,67
1_1_16_15,train,56
1_1_16_16,train,48
1_1_16_17,train,52
1_1_16_18,train,49
1_1_16_19,train,46
1_1_16_20,train,50
1_1_16_21,train,65
1_1_16_22,train,53
1_1_16_23,train,34
1_1_16_24,train,44
1_1_16_25,train,50
1_1_16_26,train,54
1_1_16_27,train,57
1_1_16_28,train,50
1_1_16_29,train,48
1_1_16_30,train,56
1_1_16_31,train,68
1_1_16_32,train,75
1_1_16_33,train,62
1_1_16_34,train,58
1_1_16_35,train,71
1_1_16_36,train,63
1_1_16_37,train,46
1_1_16_38,train,62
1_1_16_39,train,67
1_1_16_40,train,36
1_1_17_1,train,33
1_1_17_2,train,46
1_1_17_3,train,56
1_1_17_4,train,48
1_1_17_5,train,46
1_1_17_6,train,50
1_1_17_7,train,61
1_1_17_8,train,68
1_1_17_9,train,46
1_1_17_10,train,47
1_1_17_11,train,65
1_1_17_12,train,54
1_1_17_13,train,46
1_1_17_14,train,56
1_1_17_15,train,38
1_1_18_1,train,41
1_1_18_2,train,58
1_1_18_3,train,60
1_1_18_4,train,53
1_1_18_5,train,47
1_1_18_6,train,45
1_1_18_7,train,43
1_1_18_8,train,32
1_1_18_9,train,31
1_1_18_10,train,50
1_1_18_11,train,59
1_1_18_12,train,58
1_1_18_13,train,60
1_1_18_14,train,56
1_1_18_15,train,57
1_1_18_16,train,70
1_1_18_17,train,79
1_1_18_18,train,60
1_1_18_19,train,29
1_1_19_1,train,55
1_1_19_2,train,56
1_1_19_3,train,46
1_1_19_4,train,64
1_1_19_5,train,64
1_1_19_6,train,62
1_1_19_7,train,41
1_1_20_1,train,41
1_1_20_2,train,60
1_1_20_3,train,42
1_1_21_1,train,23
1_1_21_2,train,41
1_1_21_3,train,54
1_1_21_4,train,45
1_1_21_5,train,31
1_1_22_1,train,31
1_1_22_2,train,30
1_1_22_3,train,33
1_1_22_4,train,33
1_1_22_5,train,44
1_1_22_6,train,50
1_1_22_7,train,40
1_1_22_8,train,48
1_1_22_9,train,58
1_1_22_10,train,58
1_1_22_11,train,41
1_1_22_12,train,24
1_1_23_1,train,28
1_1_23_2,train,27
1_1_23_3,train,43
1_1_23_4,train,69
1_1_23_5,train,56
1_1_23_6,train,47
1_1_23_7,train,55
1_1_23_8,train,33
1_1_24_1,train,32
1_1_24_2,train,43
1_1_24_3,train,56
1_1_24_4,train,45
1_1_24_5,train,45
1_1_24_6,train,57
1_1_24_7,train,54
1_1_24_8,train,44
1_1_24_9,train,50
1_1_24_10,train,61
1_1_24_11,train,62
1_1_24_12,train,62
1_1_24_13,train,63
1_1_24_14,train,67
1_1_24_15,train,56
1_1_24_16,train,56
1_1_24_17,train,62
1_1_24_18,train,61
1_1_24_19,train,38
1_1_25_1,train,45
1_1_25_2,train,49
1_1_25_3,train,35
1_1_25_4,train,37
1_1_25_5,train,51
1_1_25_6,train,55
1_1_25_7,train,51
1_1_25_8,train,55
1_1_25_9,train,52
1_1_25_10,train,66
1_1_25_11,train,54
1_1_25_12,train,43
1_1_25_13,train,54
1_1_25_14,train,43
1_1_25_15,train,32
1_1_25_16,train,29
1_1_25_17,train,23
1_1_26_1,train,35
1_1_26_2,train,52
1_1_26_3,train,58
1_1_26_4,train,57
1_1_26_5,train,56
1_1_26_6,train,61
1_1_26_7,train,61
1_1_26_8,train,48
1_1_26_9,train,63
1_1_26_10,train,49
1_1_27_1,train,32
1_1_27_2,train,43
1_1_27_3,train,52
1_1_27_4,train,67
1_1_27_5,train,53
1_1_27_6,train,40
1_1_27_7,train,43
1_1_27_8,train,40
1_1_27_9,train,56
1_1_27_10,train,59
1_1_27_11,train,53
1_1_27_12,train,55
1_1_27_13,train,67
1_1_27_14,train,67
1_1_27_15,train,66
1_1_27_16,train,67
1_1_27_17,train,53
1_1_27_18,train,59
1_1_27_19,train,62
1_1_27_20,train,62
1_1_27_21,train,75
1_1_27_22,train,62
1_1_27_23,train,50
1_1_27_24,train,55
1_1_27_25,train,67
1_1_27_26,train,66
1_1_27_27,train,54
1_1_27_28,train,54
1_1_27_29,train,66
1_1_27_30,train,77
1_1_27_31,train,64
1_1_27_32,train,56
1_1_27_33,train,64
1_1_27_34,train,65
1_1_27_35,train,63
1_1_27_36,train,62
1_1_27_37,train,54
1_1_27_38,train,45
1_1_27_39,train,52
1_1_27_40,train,52
1_1_27_41,train,51
1_1_27_42,train,62
1_1_27_43,train,68
1_1_27_44,train,47
1_1_28_1,train,37
1_1_28_2,train,48
1_1_28_3,train,64
1_1_28_4,train,71
1_1_28_5,train,52
1_1_28_6,train,29
1_1_29_1,train,32
1_1_29_2,train,30
1_1_29_3,train,46
1_1_29_4,train,56
1_1_29_5,train,51
1_1_29_6,train,63
1_1_29_7,train,57
1_1_29_8,train,46
1_1_29_9,train,43
1_1_29_10,train,43
1_1_29_11,train,56
1_1_29_12,train,57
1_1_29_13,train,49
1_1_29_14,train,56
1_1_29_15,train,59
1_1_29_16,train,37
1_1_30_1,train,18
1_1_30_3,train,30
1_1_30_4,train,59
1_1_30_5,train,60
1_1_30_6,train,45
1_1_30_7,train,52
1_1_30_8,train,56
1_1_30_9,train,56
1_1_30_10,train,56
1_1_30_11,train,56
1_1_30_12,train,68
1_1_30_13,train,67
1_1_30_14,train,56
1_1_30_15,train,52
1_1_30_16,train,60
1_1_30_17,train,72
1_1_30_18,train,66
1_1_30_19,train,52
1_1_30_20,train,52
1_1_30_21,train,66
1_1_30_22,train,75
1_1_30_23,train,70
1_1_30_24,train,57
1_1_30_25,train,36
1_1_31_1,train,55
1_1_31_2,train,56
1_1_31_3,train,25
1_1_32_1,train,36
1_1_32_2,train,52
1_1_32_3,train,69
1_1_32_4,train,57
1_1_32_5,train,48
1_1_32_6,train,68
1_1_32_7,train,72
1_1_32_8,train,48
1_1_32_9,train,23
1_1_33_1,train,33
1_1_33_2,train,50
1_1_33_3,train,61
1_1_33_4,train,51
1_1_33_5,train,52
1_1_33_6,train,60
1_1_33_7,train,51
1_1_33_8,train,40
1_1_33_9,train,43
1_1_33_10,train,52
1_1_33_11,train,67
1_1_33_12,train,49
1_1_34_1,train,39
1_1_34_2,train,58
1_1_34_3,train,66
1_1_34_4,train,41
1_1_35_1,train,43
1_1_35_2,train,37
1_1_36_1,train,46
1_1_36_2,train,52
1_1_36_3,train,55
1_1_36_4,train,55
1_1_36_5,train,50
1_1_36_6,train,60
1_1_36_7,train,53
1_1_36_8,train,42
1_1_36_9,train,36
1_1_36_10,train,31
1_1_36_11,train,33
1_1_36_12,train,44
1_1_36_13,train,60
1_1_36_14,train,69
1_1_36_15,train,56
1_1_36_16,train,54
1_1_36_17,train,41
1_2_1_1,train,25
1_2_1_2,train,40
1_2_1_3,train,63
1_2_1_4,train,43
1_2_2_1,train,55
1_2_2_2,train,62
1_2_2_3,train,62
1_2_2_4,train,49
1_2_3_1,train,32
1_2_3_2,train,39
1_2_3_3,train,43
1_2_3_4,train,58
1_2_3_5,train,44
1_2_4_1,train,33
1_2_4_2,train,27
1_2_5_1,train,33
1_2_5_2,train,45
1_2_5_3,train,36
1_2_6_1,train,33
1_2_6_2,train,40
1_2_6_3,train,47
1_2_6_4,train,64
1_2_6_5,train,63
1_2_6_6,train,43
1_2_6_7,train,27
1_2_7_1,train,30
1_2_7_2,train,40
1_2_7_3,train,49
1_2_7_4,train,63
1_2_7_5,train,53
1_2_7_6,train,30
1_2_7_7,train,43
1_2_7_8,train,52
1_2_7_9,train,48
1_2_7_10,train,50
1_2_7_11,train,69
1_2_7_12,train,56
1_2_7_13,train,42
1_2_7_14,train,52
1_2_7_15,train,57
1_2_7_16,train,54
1_2_7_17,train,65
1_2_7_18,train,49
1_2_8_1,train,24
1_2_9_1,train,28
1_2_9_2,train,39
1_2_9_3,train,65
1_2_9_4,train,74
1_2_9_5,train,51
1_2_9_6,train,50
1_2_9_7,train,46
1_2_9_8,train,30
1_2_9_9,train,40
1_2_9_10,train,50
1_2_9_11,train,62
1_2_9_12,train,72
1_2_9_13,train,65
1_2_9_14,train,53
1_2_9_15,train,62
1_2_9_16,train,69
1_2_9_17,train,54
1_2_9_18,train,43
1_2_9_19,train,42
1_2_9_20,train,49
1_2_9_21,train,63
1_2_9_22,train,66
1_2_9_23,train,47
1_2_9_24,train,51
1_2_9_25,train,62
1_2_9_26,train,58
1_2_9_27,train,69
1_2_9_28,train,79
1_2_9_29,train,57
1_2_9_30,train,45
1_2_9_31,train,50
1_2_9_32,train,54
1_2_9_33,train,62
1_2_9_34,train,37
1_2_10_1,train,36
1_2_10_2,train,39
1_2_10_3,train,34
1_2_10_4,train,31
1_2_10_5,train,38
1_2_10_6,train,62
1_2_10_7,train,75
1_2_10_8,train,58
1_2_10_9,train,43
1_2_10_10,train,59
1_2_10_11,train,67
1_2_10_12,train,45
1_2_10_13,train,40
1_2_10_14,train,36
1_2_10_15,train,18
1_2_11_1,train,46
1_2_11_2,train,49
1_2_11_3,train,39
1_2_11_4,train,46
1_2_11_5,train,47
1_2_11_6,train,62
1_2_11_7,train,67
1_2_11_8,train,53
1_2_11_9,train,51
1_2_11_10,train,65
1_2_11_11,train,60
1_2_11_12,train,48
1_2_11_13,train,53
1_2_11_14,train,37
1_2_11_15,train,30
1_2_11_16,train,44
1_2_11_17,train,55
1_2_11_18,train,66
1_2_11_19,train,58
1_2_11_20,train,29
1_2_12_1,train,36
1_2_12_2,train,56
1_2_12_3,train,52
1_2_12_4,train,48
1_2_12_5,train,67
1_2_12_6,train,58
1_2_12_7,train,37
1_2_12_8,train,53
1_2_12_9,train,63
1_2_12_10,train,51
1_2_12_11,train,53
1_2_12_12,train,68
1_2_12_13,train,64
1_2_12_14,train,53
1_2_12_15,train,37
1_2_13_1,train,36
1_2_13_2,train,48
1_2_13_3,train,50
1_2_13_4,train,62
1_2_13_5,train,49
1_2_14_1,train,28
1_2_14_2,train,40
1_2_14_3,train,60
1_2_14_4,train,59
1_2_14_5,train,50
1_2_14_6,train,57
1_2_14_7,train,52
1_2_14_8,train,27
1_2_15_2,train,20
1_2_15_3,train,37
1_2_15_4,train,47
1_2_15_5,train,61
1_2_15_6,train,50
1_2_15_7,train,45
1_2_15_8,train,51
1_2_15_9,train,49
1_2_15_10,train,36
1_2_16_1,train,43
1_2_16_2,train,51
1_2_16_3,train,50
1_2_16_4,train,65
1_2_16_5,train,76
1_2_16_6,train,54
1_2_16_7,train,42
1_2_16_8,train,52
1_2_16_9,train,66
1_2_16_10,train,76
1_2_16_11,train,47
1_2_17_1,train,29
1_2_17_2,train,37
1_2_17_3,train,58
1_2_17_4,train,50
1_2_17_5,train,43
1_2_17_6,train,51
1_2_17_7,train,57
1_2_17_8,train,41
1_2_18_1,train,37
1_2_18_2,train,48
1_2_18_3,train,56
1_2_18_4,train,44
1_2_18_5,train,39
1_2_18_6,train,62
1_2_18_7,train,59
1_2_18_8,train,43
1_2_18_9,train,50
1_2_18_10,train,68
1_2_18_11,train,62
1_2_18_12,train,46
1_2_18_13,train,31
1_2_19_1,train,35
1_2_19_2,train,55
1_2_19_3,train,65
1_2_19_4,train,43
1_2_19_5,train,37
1_2_19_6,train,40
1_2_19_7,train,39
1_2_19_8,train,59
1_2_19_9,train,66
1_2_19_10,train,58
1_2_19_11,train,51
1_2_19_12,train,57
1_2_19_13,train,65
1_2_19_14,train,74
1_2_19_15,train,76
1_2_19_16,train,62
1_2_19_17,train,46
1_2_19_18,train,59
1_2_19_19,train,52
1_2_19_20,train,25
1_2_20_1,train,51
1_2_20_2,train,53
1_2_20_3,train,25
1_2_21_1,train,32
1_2_21_2,train,48
1_2_21_3,train,60
1_2_21_4,train,63
1_2_21_5,train,58
1_2_21_6,train,53
1_2_21_7,train,52
1_2_21_8,train,48
1_2_21_9,train,51
1_2_21_10,train,38
1_2_21_11,train,19
1_2_22_1,train,33
1_2_22_2,train,51
1_2_22_3,train,53
1_2_22_4,train,47
1_2_22_5,train,59
1_2_22_6,train,59
1_2_22_7,train,47
1_2_22_8,train,44
1_2_22_9,train,63
1_2_22_10,train,62
1_2_22_11,train,30
1_2_23_1,train,34
1_2_23_2,train,39
1_2_23_3,train,45
1_2_23_4,train,63
1_2_23_5,train,59
1_2_23_6,train,42
1_2_23_7,train,49
1_2_23_8,train,65
1_2_23_9,train,49
1_2_24_1,train,32
1_2_24_2,train,40
1_2_24_3,train,53
1_2_24_4,train,48
1_2_24_5,train,40
1_2_24_6,train,56
1_2_24_7,train,48
1_2_24_8,train,37
1_2_24_9,train,50
1_2_24_10,train,62
1_2_24_11,train,69
1_2_24_12,train,54
1_2_24_13,train,49
1_2_24_14,train,67
1_2_24_15,train,62
1_2_24_16,train,57
1_2_24_17,train,59
1_2_24_18,train,50
1_2_24_19,train,53
1_2_24_20,train,54
1_2_24_21,train,67
1_2_24_22,train,68
1_2_24_23,train,57
1_2_24_24,train,65
1_2_24_25,train,57
1_2_24_26,train,43
1_2_24_27,train,61
1_2_24_28,train,50
1_2_24_29,train,40
1_2_24_30,train,67
1_2_24_31,train,67
1_2_24_32,train,66
1_2_24_33,train,75
1_2_24_34,train,72
1_2_24_35,train,59
1_2_24_36,train,50
1_2_24_37,train,50
1_2_24_38,train,50
1_2_24_39,train,64
1_2_24_40,train,62
1_2_24_41,train,53
1_2_24_42,train,40
1_2_25_1,train,55
1_2_25_2,train,64
1_2_25_3,train,50
1_2_25_4,train,46
1_2_25_5,train,59
1_2_25_6,train,58
1_2_25_7,train,42
1_2_25_8,train,47
1_2_25_9,train,63
1_2_25_10,train,62
1_2_25_11,train,49
1_2_25_12,train,48
1_2_25_13,train,38
1_2_25_14,train,34
1_2_25_15,train,42
1_2_25_16,train,51
1_2_25_17,train,63
1_2_25_18,train,75
1_2_25_19,train,67
1_2_25_20,train,69
1_2_25_21,train,60
1_2_25_22,train,47
1_2_25_23,train,49
1_2_25_24,train,55
1_2_25_25,train,61
1_2_25_26,train,57
1_2_25_27,train,55
1_2_25_28,train,44
1_2_25_29,train,30
1_2_25_30,train,49
1_2_25_31,train,56
1_2_25_32,train,27
1_2_26_1,train,17
1_2_26_2,train,34
1_2_26_3,train,51
1_2_26_4,train,52
1_2_26_5,train,62
1_2_26_6,train,38
1_2_27_1,train,46
1_2_27_2,train,62
1_2_27_3,train,55
1_2_27_4,train,41
1_2_27_5,train,44
1_2_27_6,train,52
1_2_27_7,train,34
1_2_28_1,train,37
1_2_28_2,train,50
1_2_28_3,train,47
1_2_28_4,train,45
1_2_28_5,train,49
1_2_28_6,train,57
1_2_28_7,train,53
1_2_28_8,train,46
1_2_28_9,train,48
1_2_28_10,train,37
1_2_28_11,train,42
1_2_28_12,train,58
1_2_28_13,train,57
1_2_28_14,train,54
1_2_28_15,train,64
1_2_28_16,train,63
1_2_28_17,train,49
1_2_28_18,train,47
1_2_28_19,train,56
1_2_28_20,train,62
1_2_28_21,train,64
1_2_28_22,train,62
1_2_28_23,train,64
1_2_28_24,train,53
1_2_28_25,train,49
1_2_28_26,train,54
1_2_28_27,train,68
1_2_28_28,train,70
1_2_28_29,train,45
1_2_28_30,train,41
1_2_28_31,train,52
1_2_28_32,train,60
1_2_28_33,train,70
1_2_28_34,train,72
1_2_28_35,train,66
1_2_28_36,train,72
1_2_28_37,train,78
1_2_28_38,train,48
1_2_29_1,train,34
1_2_29_2,train,55
1_2_29_3,train,68
1_2_29_4,train,41
1_2_30_1,train,40
1_2_30_2,train,42
1_2_30_3,train,43
1_2_30_4,train,50
1_2_30_5,train,49
1_2_30_6,train,51
1_2_30_7,train,60
1_2_30_8,train,55
1_2_30_9,train,56
1_2_30_10,train,62
1_2_30_11,train,46
1_2_30_12,train,41
1_2_30_13,train,55
1_2_30_14,train,68
1_2_30_15,train,73
1_2_30_16,train,62
1_2_30_17,train,58
1_2_30_18,train,64
1_2_30_19,train,69
1_2_30_20,train,70
1_2_30_21,train,55
1_2_30_22,train,31
1_2_31_1,train,31
1_2_31_2,train,47
1_2_31_3,train,57
1_2_31_4,train,42
1_2_31_5,train,43
1_2_31_6,train,61
1_2_31_7,train,55
1_2_31_8,train,29
1_2_32_1,train,33
1_2_32_2,train,45
1_2_32_3,train,62
1_2_32_4,train,52
1_2_32_5,train,26
1_2_33_1,train,38
1_2_33_2,train,57
1_2_33_3,train,53
1_2_33_4,train,54
1_2_33_5,train,68
1_2_33_6,train,56
1_2_33_7,train,51
1_2_33_8,train,63
1_2_33_9,train,72
1_2_33_10,train,56
1_2_33_11,train,48
1_2_33_12,train,54
1_2_33_13,train,60
1_2_33_14,train,61
1_2_33_15,train,53
1_2_33_16,train,68
1_2_33_17,train,78
1_2_33_18,train,55
1_2_33_19,train,25
1_2_34_1,train,32
1_2_34_2,train,45
1_2_34_3,train,61
1_2_34_4,train,54
1_2_34_5,train,62
1_2_34_6,train,65
1_2_34_7,train,49
1_2_34_8,train,47
1_2_34_9,train,59
1_2_34_10,train,54
1_2_34_11,train,47
1_2_34_12,train,53
1_2_34_13,train,50
1_2_34_14,train,53
1_2_34_15,train,52
1_2_34_16,train,53
1_2_34_17,train,67
1_2_34_18,train,71
1_2_34_19,train,72
1_2_34_20,train,57
1_2_34_21,train,45
1_2_34_22,train,53
1_2_34_23,train,48
1_2_34_24,train,46
1_2_34_25,train,67
1_2_34_26,train,68
1_2_34_27,train,51
1_2_34_28,train,55
1_2_34_29,train,44
1_2_35_1,train,34
1_2_35_2,train,41
1_2_35_3,train,43
1_2_35_4,train,41
1_2_35_5,train,27
1_2_36_1,train,33
1_2_36_2,train,41
1_2_36_3,train,53
1_2_36_4,train,49
1_2_36_5,train,42
1_2_36_6,train,50
1_2_36_7,train,44
1_2_36_8,train,41
1_2_36_9,train,50
1_2_36_10,train,43
1_2_36_11,train,40
1_2_36_12,train,56
1_2_36_13,train,55
1_2_36_14,train,48
1_2_36_15,train,62
1_2_36_16,train,58
1_2_36_17,train,46
1_2_36_18,train,57
1_2_36_19,train,49
1_2_36_20,train,43
1_2_36_21,train,50
1_2_36_22,train,58
1_2_36_23,train,58
1_2_36_24,train,55
1_2_36_25,train,70
1_2_36_26,train,75
1_2_36_27,train,60
1_2_36_28,train,55
1_2_36_29,train,59
1_2_36_30,train,68
1_2_36_31,train,64
1_2_36_32,train,52
1_2_36_33,train,65
1_2_36_34,train,47
1_2_37_1,train,43
1_2_37_2,train,49
1_2_37_3,train,37
1_2_37_4,train,37
1_2_37_5,train,44
1_2_37_6,train,42
1_2_37_7,train,50
1_2_37_8,train,48
1_2_37_9,train,39
1_2_37_10,train,58
1_2_37_11,train,55
1_2_37_12,train,34
1_2_37_13,train,37
1_2_37_14,train,36
1_2_37_15,train,32
1_2_37_16,train,35
1_2_37_17,train,32
1_2_37_18,train,26
1_2_38_1,train,49
1_2_38_2,train,52
1_2_38_3,train,45
1_2_38_4,train,51
1_2_38_5,train,52
1_2_38_6,train,58
1_2_38_7,train,48
1_2_38_8,train,45
1_2_38_9,train,59
1_2_38_10,train,44
1_2_38_11,train,36
1_2_38_12,train,37
1_2_38_13,train,33
1_2_38_14,train,33
1_2_38_15,train,31
1_2_38_16,train,26
1_3_1_1,train,32
1_3_1_2,train,41
1_3_1_3,train,52
1_3_1_4,train,50
1_3_1_5,train,31
1_3_2_1,train,28
1_3_2_2,train,44
1_3_2_3,train,52
1_3_2_4,train,41
1_3_2_5,train,44
1_3_2_6,train,50
1_3_2_7,train,65
1_3_2_8,train,58
1_3_2_9,train,41
1_3_2_10,train,57
1_3_2_11,train,60
1_3_2_12,train,57
1_3_2_13,train,62
1_3_2_14,train,38
1_3_3_1,train,35
1_3_3_2,train,44
1_3_3_3,train,56
1_3_3_4,train,51
1_3_3_5,train,44
1_3_3_6,train,56
1_3_3_7,train,50
1_3_3_8,train,35
1_3_3_9,train,41
1_3_3_10,train,56
1_3_3_11,train,53
1_3_3_12,train,50
1_3_3_13,train,64
1_3_3_14,train,52
1_3_3_15,train,42
1_3_3_16,train,37
1_3_4_1,train,37
1_3_4_2,train,46
1_3_4_3,train,37
1_3_4_4,train,37
1_3_4_5,train,48
1_3_4_6,train,42
1_3_4_7,train,53
1_3_4_8,train,49
1_3_4_9,train,47
1_3_4_10,train,54
1_3_4_11,train,62
1_3_4_12,train,67
1_3_4_13,train,43
1_3_4_14,train,25
1_3_5_1,train,33
1_3_5_2,train,57
1_3_5_3,train,62
1_3_5_4,train,44
1_3_5_5,train,59
1_3_5_6,train,54
1_3_5_7,train,42
1_3_5_8,train,56
1_3_5_9,train,52
1_3_5_10,train,28
1_3_6_1,train,32
1_3_6_2,train,43
1_3_6_3,train,41
1_3_6_4,train,37
1_3_6_5,train,43
1_3_6_6,train,48
1_3_6_7,train,62
1_3_6_8,train,65
1_3_6_9,train,54
1_3_6_10,train,51
1_3_6_11,train,63
1_3_6_12,train,52
1_3_6_13,train,37
1_3_6_14,train,43
1_3_6_15,train,38
1_3_6_16,train,51
1_3_6_17,train,56
1_3_6_18,train,44
1_3_6_19,train,43
1_3_6_20,train,49
1_3_6_21,train,65
1_3_6_22,train,54
1_3_6_23,train,46
1_3_6_24,train,62
1_3_6_25,train,64
1_3_6_26,train,68
1_3_6_27,train,68
1_3_6_28,train,73
1_3_6_29,train,75
1_3_6_30,train,62
1_3_6_31,train,55
1_3_6_32,train,37
1_3_7_1,train,38
1_3_7_2,train,62
1_3_7_3,train,74
1_3_7_4,train,53
1_3_7_5,train,40
1_3_7_6,train,54
1_3_7_7,train,63
1_3_7_8,train,53
1_3_7_9,train,52
1_3_7_10,train,53
1_3_7_11,train,62
