clip_stem,vid,match,set_id,rally,ball_round,raw_type_en,player_side,split_bst_baseline,split_v2,aroundhead,backhand
1_1_5_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,14,wrist_smash,Top,train,train,1.0,0.0
1_1_5_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,15,return_net,Bottom,train,train,0.0,0.0
1_1_5_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,16,rush,Top,train,train,0.0,0.0
1_1_6_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,1,long_service,Top,train,train,0.0,1.0
1_1_6_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,2,wrist_smash,Bottom,train,train,1.0,0.0
1_1_6_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,3,defensive_return_lob,Top,train,train,0.0,1.0
1_1_6_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,4,wrist_smash,Bottom,train,train,0.0,0.0
1_1_6_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,6,5,cross_court_net_shot,Top,train,train,0.0,1.0
1_1_7_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,1,short_service,Bottom,train,train,0.0,1.0
1_1_7_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,2,push,Top,train,train,0.0,1.0
1_1_7_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,3,passive_drop,Bottom,train,train,0.0,0.0
1_1_7_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,7,4,drop,Top,train,train,0.0,0.0
1_1_8_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,1,short_service,Bottom,train,train,0.0,1.0
1_1_8_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,2,drive,Top,train,train,0.0,1.0
1_1_8_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,3,drive,Bottom,train,train,0.0,0.0
1_1_8_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,4,drive,Top,train,train,0.0,0.0
1_1_8_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,5,return_net,Bottom,train,train,0.0,1.0
1_1_8_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,8,6,push,Top,train,train,0.0,1.0
1_1_9_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,1,short_service,Bottom,train,train,0.0,1.0
1_1_9_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,2,net_shot,Top,train,train,0.0,1.0
1_1_9_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,3,net_shot,Bottom,train,train,0.0,1.0
1_1_9_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,4,lob,Top,train,train,0.0,0.0
1_1_9_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,5,drop,Bottom,train,train,0.0,0.0
1_1_9_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,6,return_net,Top,train,train,0.0,0.0
1_1_9_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,7,lob,Bottom,train,train,0.0,1.0
1_1_9_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,8,clear,Top,train,train,0.0,0.0
1_1_9_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,9,wrist_smash,Bottom,train,train,0.0,0.0
1_1_9_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,10,return_net,Top,train,train,0.0,0.0
1_1_9_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,11,lob,Bottom,train,train,0.0,0.0
1_1_9_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,12,clear,Top,train,train,0.0,0.0
1_1_9_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,13,passive_drop,Bottom,train,train,0.0,0.0
1_1_9_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,14,lob,Top,train,train,0.0,0.0
1_1_9_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,15,drop,Bottom,train,train,0.0,0.0
1_1_9_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,16,cross_court_net_shot,Top,train,train,0.0,0.0
1_1_9_17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,17,lob,Bottom,train,train,0.0,1.0
1_1_9_18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,18,clear,Top,train,train,0.0,0.0
1_1_9_19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,19,drop,Bottom,train,train,0.0,0.0
1_1_9_20,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,20,net_shot,Top,train,train,0.0,0.0
1_1_9_21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,21,lob,Bottom,train,train,0.0,0.0
1_1_9_22,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,9,22,smash,Top,train,train,0.0,0.0
1_1_10_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,1,short_service,Top,train,train,0.0,1.0
1_1_10_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,2,lob,Bottom,train,train,0.0,1.0
1_1_10_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,3,drop,Top,train,train,0.0,0.0
1_1_10_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,4,net_shot,Bottom,train,train,0.0,1.0
1_1_10_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,5,push,Top,train,train,0.0,1.0
1_1_10_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,6,passive_drop,Bottom,train,train,0.0,1.0
1_1_10_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,7,drive,Top,train,train,0.0,1.0
1_1_10_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,8,return_net,Bottom,train,train,0.0,0.0
1_1_10_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,10,9,net_shot,Top,train,train,0.0,0.0
1_1_11_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,1,short_service,Bottom,train,train,0.0,1.0
1_1_11_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,2,push,Top,train,train,0.0,1.0
1_1_11_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,3,passive_drop,Bottom,train,train,0.0,0.0
1_1_11_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,4,return_net,Top,train,train,0.0,0.0
1_1_11_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,5,net_shot,Bottom,train,train,0.0,0.0
1_1_11_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,6,net_shot,Top,train,train,0.0,0.0
1_1_11_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,7,lob,Bottom,train,train,0.0,0.0
1_1_11_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,8,clear,Top,train,train,0.0,0.0
1_1_11_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,9,passive_drop,Bottom,train,train,0.0,0.0
1_1_11_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,10,push,Top,train,train,0.0,0.0
1_1_11_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,11,passive_drop,Bottom,train,train,0.0,0.0
1_1_11_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,12,return_net,Top,train,train,0.0,0.0
1_1_11_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,13,net_shot,Bottom,train,train,0.0,0.0
1_1_11_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,14,push,Top,train,train,0.0,0.0
1_1_11_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,15,passive_drop,Bottom,train,train,0.0,0.0
1_1_11_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,16,drive,Top,train,train,0.0,0.0
1_1_11_17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,17,return_net,Bottom,train,train,0.0,1.0
1_1_11_18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,18,push,Top,train,train,0.0,1.0
1_1_11_19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,19,clear,Bottom,train,train,0.0,0.0
1_1_11_20,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,20,clear,Top,train,train,1.0,0.0
1_1_11_21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,21,wrist_smash,Bottom,train,train,1.0,0.0
1_1_11_22,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,22,cross_court_net_shot,Top,train,train,0.0,1.0
1_1_11_23,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,23,return_net,Bottom,train,train,0.0,0.0
1_1_11_24,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,24,lob,Top,train,train,0.0,1.0
1_1_11_25,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,25,clear,Bottom,train,train,0.0,0.0
1_1_11_26,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,26,clear,Top,train,train,0.0,0.0
1_1_11_27,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,27,drop,Bottom,train,train,0.0,0.0
1_1_11_28,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,28,net_shot,Top,train,train,0.0,0.0
1_1_11_29,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,29,lob,Bottom,train,train,0.0,0.0
1_1_11_30,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,30,clear,Top,train,train,1.0,0.0
1_1_11_31,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,31,clear,Bottom,train,train,0.0,0.0
1_1_11_32,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,32,wrist_smash,Top,train,train,0.0,0.0
1_1_11_33,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,33,return_net,Bottom,train,train,0.0,1.0
1_1_11_34,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,34,lob,Top,train,train,0.0,1.0
1_1_11_35,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,35,clear,Bottom,train,train,0.0,0.0
1_1_11_36,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,36,clear,Top,train,train,0.0,0.0
1_1_11_37,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,37,clear,Bottom,train,train,0.0,0.0
1_1_11_38,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,38,clear,Top,train,train,0.0,0.0
1_1_11_39,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,39,clear,Bottom,train,train,0.0,0.0
1_1_11_40,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,40,clear,Top,train,train,0.0,0.0
1_1_11_41,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,11,41,passive_drop,Bottom,train,train,0.0,0.0
1_1_12_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,1,short_service,Top,train,train,0.0,1.0
1_1_12_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,2,lob,Bottom,train,train,0.0,1.0
1_1_12_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,3,clear,Top,train,train,0.0,0.0
1_1_12_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,4,wrist_smash,Bottom,train,train,0.0,0.0
1_1_12_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,5,return_net,Top,train,train,0.0,0.0
1_1_12_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,6,lob,Bottom,train,train,0.0,0.0
1_1_12_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,7,clear,Top,train,train,0.0,1.0
1_1_12_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,8,back_court_drive,Bottom,train,train,0.0,0.0
1_1_12_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,9,drive,Top,train,train,0.0,0.0
1_1_12_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,10,return_net,Bottom,train,train,0.0,1.0
1_1_12_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,11,lob,Top,train,train,0.0,1.0
1_1_12_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,12,drop,Bottom,train,train,0.0,0.0
1_1_12_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,13,net_shot,Top,train,train,0.0,1.0
1_1_12_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,14,lob,Bottom,train,train,0.0,1.0
1_1_12_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,15,clear,Top,train,train,0.0,0.0
1_1_12_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,16,clear,Bottom,train,train,0.0,0.0
1_1_12_17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,17,wrist_smash,Top,train,train,1.0,0.0
1_1_12_18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,18,cross_court_net_shot,Bottom,train,train,0.0,1.0
1_1_12_19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,19,push,Top,train,train,0.0,0.0
1_1_12_20,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,20,clear,Bottom,train,train,0.0,0.0
1_1_12_21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,21,clear,Top,train,train,0.0,0.0
1_1_12_22,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,22,clear,Bottom,train,train,1.0,0.0
1_1_12_23,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,23,wrist_smash,Top,train,train,1.0,0.0
1_1_12_24,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,24,cross_court_net_shot,Bottom,train,train,0.0,1.0
1_1_12_25,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,25,push,Top,train,train,0.0,0.0
1_1_12_26,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,26,passive_drop,Bottom,train,train,0.0,0.0
1_1_12_27,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,27,push,Top,train,train,0.0,1.0
1_1_12_28,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,28,passive_drop,Bottom,train,train,0.0,1.0
1_1_12_29,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,29,push,Top,train,train,0.0,1.0
1_1_12_30,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,30,passive_drop,Bottom,train,train,0.0,0.0
1_1_12_31,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,31,push,Top,train,train,0.0,0.0
1_1_12_32,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,32,passive_drop,Bottom,train,train,0.0,0.0
1_1_12_33,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,12,33,push,Top,train,train,0.0,1.0
